#,Bank Name,Compensataion Policy Link,Last updated,Customer Support Policy,Last updated,Grievance redressal policy,Last updated,Custmoer Support Email,Grievance Email,Nodel Office Email
1,Axis Bank,https://mantr2024.sharepoint.com/:b:/s/Mantr-Global/IQD2pT-F6u4TToYJlM1C64r0Acq5BRtvlT7IjAaG7DdzpMw?e=y68a1k,Oct-25,https://www.axisbank.com/docs/default-source/noticeboard/importantnotice/customer--rights-policy.pdf,Jun-25,https://www.axis.bank.in/docs/default-source/default-document-library/grievance-redressal/grievance-redressal-policy.pdf,25-Oct,,,
2,BOB,BoB.pdf,19-Apr,https://bankofbaroda.bank.in/-/media/Project/BOB/CountryWebsites/India/shareholders-corner2/2023/23-08/customer-protection-policy-2023-website-08-19.pdf,23-Jun,https://ifsc.bankofbaroda.bank.in/-/media/project/bob/countrywebsites/ifsc/uploader/grievance-redressal-policy-ifscbu-02-05.pdf,2025,,,
3,DBS,DBS.pdf,23-Jun,https://www.dbs.bank.in/in/iwov-resources/pdf/related-links/customer-service-policy.pdf,,https://www.dbs.com/iwov-resources/pdf/in/Grievance%20Redressal%20Policy/2025-04/Grievance%20Redressal%20Policy-DBSBankLtd%20-Ver%201.6Final.pdf,,,,
4,FBI,Fedaral.pdf,24-Mar,https://www.federal.bank.in/documents/10180/412885500/Policy+on+Customer+Service.pdf/a890a213-a581-fa39-ebd6-0149dd548bd8?t=1711612615052,,https://www.federal.bank.in/documents/10180/45777/POLICY+FOR+CUSTOMER+GRIEVANCE+REDRESSAL.pdf/60eb733b-3d5b-40ee-9c7f-6cb2fc1b26ee?t=1752067608536,,,,
5,HDFC,HDFC.pdf,,https://www.hdfcbank.com/content/bbp/repositories/723fb80a-2dde-42a3-9793-7ae1be57c87f/?path=/Footer/Useful%20Links/Our%20Corporate%20Commitment/pdfs/Customer_Rights_Policy_Version_2_1.pdf,24-Nov,https://www.hdfcbank.com/content/bbp/repositories/723fb80a-2dde-42a3-9793-7ae1be57c87f/?path=/Footer/Useful%20Links/Our%20Corporate%20Commitment/pdfs/Grievance_Redressal_Policy_Version_1_1_3.pdf,24-Nov,,,
6,HSBC,HSBC.pdf,,https://www.hsbc.co.in/content/dam/hsbc/in/documents/customer_rights_policy.pdf,,https://www.hsbc.co.in/help/feedback-and-complaints/,,,,
7,ICICI,ICICI.pdf,24-Feb,https://www.icici.bank.in/content/dam/icicibank/india/managed-assets/docs/personal/general-links/code-of-commitment/customer-rights-policy.pdf,18-Feb,https://www.icici.bank.in/content/dam/icicibank/india/managed-assets/docs/pdf/grievance-redressal-policy.pdf,25-Feb,,,
8,Indusind,Indusind.pdf,24-Aug,https://www.indusind.bank.in/content/dam/regulatoryDisclosure/customer-policy/Customer-Rights-Policy.pdf,23-May,https://www.indusind.bank.in/content/dam/regulatoryDisclosure/grievanceRedressal/grievance_redressal_policy.pdf,,,,
9,Kotak,Kotak.pdf,,https://www.kotak.bank.in/content/dam/Kotak/Customer-Service/Important-Customer-Information/Banking-Policies/customer-rights-policy.pdf,,https://www.kotak.bank.in/content/dam/Kotak/Customer-Service/Important-Customer-Information/Banking-Policies/policy-for-grievance-redressal.pdf,,,,
10,SBI,SBI.pdf,24-Feb,https://sbi.bank.in/documents/53471/53742/POLICY+ON+DSB+SERVICES+5.0.pdf/69c92829-db9b-c668-8469-b8af938bb42b?t=1740488831675,,https://sbi.bank.in/documents/53471/263971/Customer+Rights+Grievance+Redressal+and+Compensation+Policy+2024%28Version+5%29.pdf/0200f401-cbc8-68d2-d1a7-a74d305d5332?t=1745317199634,2024,,,
11,Canara,https://canarabank.bank.in/UploadedFiles/Pdf/web-upload-req-compensation-uebt-pol-23-24-31032023.pdf,,https://canarabank.bank.in/UploadedFiles/Pdf/Policy%20on%20Customer%20Rights%202025-26.pdf,,https://www.canarabank.bank.in/UploadedFiles/Pdf/GRIEVANCE%20REDRESSAL%20POLICY%202025-26.pdf,,,,
12,UBI,"https://www.unionbankofindia.bank.in/pdf/policy%20on%20compensation,%20grievance%20redressal%20&%20customer%20rights%202024-25.pdf",,https://www.unionbankofindia.bank.in/pdf/policy%20on%20compensation-grievance%20redressal%20and%20customer%20rights%202023-24.pdf,,https://www.unionbankofindia.bank.in/pdf/policy%20on%20compensation-grievance%20redressal%20and%20customer%20rights%202023-24.pdf,,,,
13,Yes,https://www.yes.bank.in/regulatory_policies,,https://www.yes.bank.in/regulatory_policies,,https://www.yes.bank.in/regulatory_policies,,,,
14,IDBI,https://www.idbi.bank.in/pdf/Compensation_Policy.pdf,24-May,https://www.idbi.bank.in/pdf/policy/customer_care_policy.pdf,24-May,https://www.idbi.bank.in/pdf/policy/Grievance_Redressal_Policy.pdf,24-Nov,,,
15,CBI,https://centralbankofindia.co.in/sites/default/files/COMPENSATION%20-POLICY-2022_23.pdf,,https://centralbankofindia.co.in/sites/default/files/2023-06/Customer-Right-Policy-2023-24.pdf,,https://www.centralbankofindia.co.in/sites/default/files/2025-01/policy-on-customer-grivenses-redresal-mechanism-24-25.pdf,,,,
16,BOI,https://bankofindia.bank.in/documents/20121/375171/BankCompensationPolicy.pdf,23-Sep,https://bankofindia.bank.in/documents/20121/375171/Customer_Rights_Policy_29102021.pdf/6568cc4a-1383-dde7-259e-a78feaa59b28?t=1693301904363,21-Sep,https://bankofindia.bank.in/documents/20121/375171/Grievances_Redressal-Policy_March-2024.pdf,24-Mar,,,
17,IDFC,https://www.idfcfirst.bank.in/content/dam/IDFCFirstBank/regulatory-disclosures/Customer-Compensation-Policy.pdf,Jul-20,https://www.idfcfirst.bank.in/content/dam/idfcfirstbank/pdf/Customer-Service-Terms-of-Engagement.pdf,,https://www.idfcfirst.bank.in/content/dam/idfcfirstbank/grievance-redressal/64-Grievance-Redressal-Policy-V-2-2-20-01-2024.pdf,25-Apr,,,
18,Bandhan,https://www.bandhan.bank.in/sites/default/files/2025-11/Customer-Policies-07112025.pdf,,https://www.bandhan.bank.in/sites/default/files/2025-11/Customer-Policies-07112025.pdf,,https://www.bandhan.bank.in/sites/default/files/2025-11/Customer-Policies-07112025.pdf,,,,
19,RBL,https://webassets.rbl.bank.in/document/bank-policies/customer-compensation-and-protection-policy.pdf,25-Sep,https://webassets.rbl.bank.in/document/Bank%20Policies/Customer_Right_Policy.pdf,25-Sep,https://webassets.rbl.bank.in/document/Bank%20Policies/GrievanceRedressalPolicy.pdf,25-Sep,,,
20,South Indian Bank,https://www.southindianbank.bank.in/userfiles/file/customer_protection_policy.pdf,,https://www.southindianbank.bank.in/userfiles/file/customer_protection_policy.pdf,,https://www.southindianbank.bank.in/userfiles/file/grievance_redressal_policy.pdf,,,,
21,KVB,https://www.kvb.bank.in/docs/compensation-policy.pdf,2023,https://www.kvb.bank.in/docs/customer-relation-policy.pdf,2023,https://www.kvb.bank.in/docs/grievance-redressal-policy.pdf,2023,,,
22,Karnataka Bank,https://www.karnatakabank.bank.in/investors/policies-codes,,https://www.karnatakabank.bank.in/investors/policies-codes,,https://www.karnatakabank.bank.in/sites/default/files/2024-02/grievance-redressal.pdf,,,,
23,AU Small finance,AU small finance customer compensation.pdf,2019,https://www.au.bank.in/terms-and-conditions,,AUSFB grievance.pdf,2025,,,
24,CUB,https://cityunionbank.bank.in/filemanager/Feb24/Policy%20on%20Compensation%20(for%20customers).pdf,2024,https://cityunionbank.bank.in/filemanager/Sep25/Policy_005_CustomerProtectionPolicy_v1.6.pdf,,https://cityunionbank.bank.in/filemanager/PDF/2021_Policy_For_Grivance_Redressal.pdf,,,,
25,DCB,https://www.dcb.bank.in/dcb/assets/2024-08/22-Compensation.pdf,,https://www.dcb.bank.in/dcb/assets/2024-08/23-CustomerRights.pdf,2024,https://www.dcb.bank.in/api/dcb/assets/2024-09/Policy-on-Customer-Grievance-Redressal.pdf,2024,,,
26,Dhanlaxmi,https://www.dhan.bank.in/pdf/Compensation-Policy-2024.pdf,,https://www.dhan.bank.in/pdf/Customer-Relations-Policy-2024.pdf,,https://www.dhan.bank.in/grievance-redressal/,,,,
27,Fino,https://docs.fino.bank.in/uploads/pages/notice-board/1693378075_CustomerCompensationPolicy.pdf,2017,https://docs.fino.bank.in/uploads/pages/notice-board/1693378136_CustomerServicePolicy.pdf,,https://docs.fino.bank.in/uploads/pages/notice-board/1693378107_CustomerGrievancePolicy.pdf,,,,
28,Equitas,https://equitas.bank.in/strapi-dev/uploads/Customer_Compensation_Policy_v1_8_updated_c7fb2ffc90.pdf,28-Mar-24,https://equitas.bank.in/strapi-dev/uploads/ESFB_Policy_on_Customer_Rights_Nov_2023_c93b5c5a5d.pdf,4-May-22,https://equitas.bank.in/strapi-dev/uploads/GR_Policy_9436b7ffc9.pdf,,,,
29,Suryodaya,https://suryoday.bank.in/assets/pdf/policies/Customer-Compensation-Policy.pdf,2021-22,https://suryoday.bank.in/assets/pdf/policies/Customer-Service-Policy.pdf,25-May-21,https://suryoday.bank.in/assets/pdf/policies/Grievance-Redressal-Policy.pdf,2021-22,,,
30,Bank of Maha,https://bankofmaharashtra.bank.in/writereaddata/documentlibrary/4a521fc4-e040-4a40-81d2-73022f1b8dc6.pdf,,https://bankofmaharashtra.bank.in/writereaddata/documentlibrary/ab98b260-a44f-4455-b5ee-02ebbc5b948b.pdf,2024-25,https://bankofmaharashtra.bank.in/writereaddata/documentlibrary/676d3b31-a27b-454d-a20b-33aa8cb2aab1.pdf,2023-24,,,
31,Indian overseas bank,https://www.iob.bank.in/upload/CEDocuments/iobCompensation_Policy_2021_Board_Approved.pdf,5-Jan-22,https://www.iob.bank.in/upload/CEDocuments/1st_Annual_Review_of_Customer_Rights_Policy_2022.pdf,1/11/2023,https://www.iob.bank.in/upload/CEDocuments/iobGrievance_Redressal_Policy.pdf,2024-25,,,
32,J&K bank,Compensation Policy Document24072018.pdf,Jul-18,https://jkb.bank.in/sites/default/files/Customer%20Service%20Policy%20Reviewed%20Dec2025.pdf,3-Dec-25,GRIEVANCE REDRESSAL POLICY March 2021 updated-16082021.pdf,2021,,,
33,Nainital Bank,POLICY-ON-REVERSAL.pdf,,Customer Right Policy Dec 2024.pdf,,Microsoft Word - poliy on grievance redressal 24.06.2023.docx,2023,,,
34,TMB,Microsoft Word - Compensation Policy 2024-25,2024,Microsoft Word - Customer Rights Policy 2024-25,2024,Microsoft Word - Grievances Redressal Policy 2024-25,2024,,,
35,Airtel Payments Bank,"Airtel Payments Bank - Recharge, Utility Payments, Wallet & Buy Fastag",2025,Customer Rights Policy | Airtel Payments Bank,2025,"Airtel Payments Bank - Recharge, Utility Payments, Wallet & Buy Fastag",,,,
36,Indian Post payments bank,e4226785-f42a-b7bd-0795-40dd3514ea69,2025,356cc2a2-d686-73e5-34d1-19ab16b06dfe,2025,Microsoft Word - Customer Protection & Grievance Redressal Policy,2025,,,
37,NSDL Bank,Microsoft Word - Customer Protection and Compensation Policy version 1.3.docx,2025,Customer_Rights_Policy_Latest.pdf,25,Customer Service Policy,2025,,,
38,,,,,,,,,,
39,,,,,,,,,,